Name: base_model.model.input_blocks.10.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.10.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.11.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.12.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.13.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.14.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.15.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.middle_block.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.middle_block.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.middle_block.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.middle_block.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.middle_block.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.middle_block.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.middle_block.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.middle_block.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.middle_block.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.middle_block.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.middle_block.1.norm.weight, Requires_Grad: False
Name: base_model.model.middle_block.1.norm.bias, Requires_Grad: False
Name: base_model.model.middle_block.1.qkv.weight, Requires_Grad: False
Name: base_model.model.middle_block.1.qkv.bias, Requires_Grad: False
Name: base_model.model.middle_block.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.middle_block.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.middle_block.2.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.middle_block.2.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.middle_block.2.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.middle_block.2.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.middle_block.2.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.middle_block.2.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.middle_block.2.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.middle_block.2.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.middle_block.2.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.middle_block.2.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.0.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.1.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.2.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.emb_layers.1.weight, Requires_Grad: False
